# Constructed from biom file					
OTU_ID	BHBS	BPS	ISED	LBS	taxa
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae	0	0.004908477	0.007763333	0.004577114	Paludibacteraceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae	0	0.00076695	0.003562289	0	Chitinophagaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family	0.036514119	0	0.000667417	0	Unknown_Family
d__Bacteria;p__Desulfobacterota;c__uncultured;o__uncultured;f__uncultured	0	0.006595766	0.002890777	0.023482587	d__Bacteria;p__Desulfobacterota;c__uncultured;o__uncultured;f__uncultured
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae	0	0	0.000217013	0	Micrococcaceae
d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae	0	0.001585029	0.002067765	0	Thermoanaerobaculaceae
d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiales	0	0	0.000302999	0	Methanomicrobiales
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Spongiibacteraceae	0	0.001380509	0.000675607	0	Spongiibacteraceae
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	0	0.0005113	0.000208824	0.000995025	Bacillaceae
d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae	0	0	0.000118743	0	Eubacteriaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__KI89A_clade;f__KI89A_clade	0	0.00092034	0.000413553	0	KI89A_clade
d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae	0	0.004243788	0.007480807	0	Smithellaceae
d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__WCHB1-41;f__WCHB1-41	0	0.001227119	0.003816153	0	WCHB1-41
d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__Altiarchaeales;f__Altiarchaeaceae	0	0	0.00064285	0	Altiarchaeaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	0	0	0.001711536	0	Xanthomonadaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae	0	0.006544636	0.001584604	0	Competibacteraceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;__	0	0.013140403	0.001989968	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;__
d__Bacteria;p__Calditrichota;c__Calditrichia;o__Calditrichales;f__Calditrichaceae	0	0.002761019	0.001175146	0.00278607	Calditrichaceae
d__Bacteria;p__MBNT15;c__MBNT15;o__MBNT15;f__MBNT15	0	0.00061356	0.001171051	0.012139303	MBNT15
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae	0	0	0.000454499	0	Ilumatobacteraceae
d__Archaea;p__Asgardarchaeota;c__Odinarchaeia;o__Odinarchaeia;f__Odinarchaeia	0	0.000971469	0.000511823	0	Odinarchaeia
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae	0	0	0.005220596	0	Sphingomonadaceae
d__Bacteria;p__Latescibacterota;c__Latescibacterota;o__Latescibacterota;f__Latescibacterota	0	0.002249719	0.005359812	0.014925373	Latescibacterota
d__Bacteria;p__Chloroflexi;c__AD3;o__AD3;f__AD3	0.018403116	0	0	0	AD3
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	0	0	0.000241581	0	Erysipelotrichaceae
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae	0	0.00061356	0.00029481	0	Mycobacteriaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__R7C24;f__R7C24	0	0	0.000663323	0	R7C24
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Sporomusaceae	0	0	0.000278432	0	Sporomusaceae
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae	0	0.004397178	0.006588187	0	Desulfocapsaceae
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__GIF3;f__GIF3	0	0.001840679	0.00177705	0	GIF3
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae	0.000292113	0	0.000274337	0	Solirubrobacteraceae
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Acidaminobacteraceae	0	0	0.000827106	0	Acidaminobacteraceae
