# Constructed from biom file									
OTU_ID	BB	BP01	BP02	BP03	LB	MC1	MC2	N_ctrl	taxa
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	0	0.015705839	0.008280982	0.030666464	0	0	0.017827335	0	Rhodobacteraceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae	0	0.002402069	0	0.002277213	0	0	0	0	Alteromonadaceae
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae	0	0.007021434	0.018560822	0.007135266	0	0	0	0	Desulfosarcinaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__	0	0.000739098	0.001998858	0.000455443	0	0	0	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae	0	0.00886918	0.009423187	0.0203431	0	0	0	0	Chitinophagaceae
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae	0	0.002956393	0.000856653	0.000455443	0	0	0	0	Arcobacteraceae
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	0	0.009238729	0.001427756	0.001518142	0	0	0	0	Carnobacteriaceae
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales_Incertae_Sedis	0	0.003325942	0.002855511	0.007287081	0	0	0	0	Rhizobiales_Incertae_Sedis
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0	0.001108647	0.000285551	0.000910885	0.03030303	0	0	0	Burkholderiaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;__;__	0	0.002586844	0.000285551	0.004098983	0	0	0	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;__;__
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Lentimicrobiaceae	0	0.007390983	0.008852085	0.007742523	0	0	0	0	Lentimicrobiaceae
d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae	0	0.004249815	0.010565391	0.004250797	0	0	0	0	Syntrophobacteraceae
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__Desulfatiglandaceae	0	0.004804139	0.009423187	0.002884469	0	0	0	0	Desulfatiglandaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae	0	0.000923873	0.001427756	0.000455443	0	0	0	0	Paludibacteraceae
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Phaselicystidaceae	0	0.000554324	0.000285551	0	0	0	0	0	Phaselicystidaceae
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae	0	0.000739098	0.000856653	0.002277213	0	0	0	0	Anaeromyxobacteraceae
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__C2U	0	0.000923873	0.001142204	0.001366328	0	0	0	0	C2U
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae	0	0.009608278	0.003712164	0.011386063	0	0	0	0	Sphingomonadaceae
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;__	0	0.002771619	0.001713307	0.000303628	0	0	0	0	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;__
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae	0	0.003325942	0.003712164	0.007287081	0	0	0	0	Rhizobiaceae
d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Methylomirabilales;f__Methylomirabilaceae	0	0.004065041	0.005425471	0.003036284	0	0	0	0	Methylomirabilaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__M2PB4-65_termite_group	0	0.000739098	0.001427756	0.000303628	0	0	0	0	M2PB4-65_termite_group
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae	0	0.003510717	0.000856653	0.000759071	0	0	0	0	Sulfurospirillaceae
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae	0	0.000369549	0	0	0	0	0	0	Chthoniobacteraceae
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae	0	0.00443459	0.011422045	0.006679824	0	0	0	0	Desulfocapsaceae
d__Bacteria;p__Desulfobacterota;c__Desulfobaccia;o__Desulfobaccales;f__Desulfobaccaceae	0	0.006282336	0.010850942	0.003036284	0	0	0	0	Desulfobaccaceae
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadia;f__Desulfuromonadaceae	0	0.000369549	0.000285551	0.000455443	0	0	0	0	Desulfuromonadaceae
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae	0	0.001478197	0	0	0	0	0	0	Defluviitaleaceae
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae	0	0.001108647	0.00256996	0.005768939	0.015151515	0	0	0	Xanthobacteraceae
d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__uncultured;f__uncultured	0	0.001293422	0.007424329	0.001214513	0	0	0	0	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__uncultured;f__uncultured
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__uncultured;f__uncultured	0	0.000369549	0.000571102	0.001214513	0	0	0	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__uncultured;f__uncultured
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae	0	0.001662971	0.000571102	0.002429027	0	0	0	0	Gemmatimonadaceae
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae	0	0.004249815	0.000285551	0.002580841	0	0	0	0	Leptotrichiaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae	0	0.000923873	0	0.001669956	0	0	0	0	Diplorickettsiaceae
d__Bacteria;p__Latescibacterota;c__Latescibacterota;o__Latescibacterota;f__Latescibacterota	0	0.001847746	0.001998858	0.001973584	0	0	0	0	Latescibacterota
d__Bacteria;p__Acidobacteriota;__;__;__	0	0.000739098	0	0.000151814	0	0	0	0	d__Bacteria;p__Acidobacteriota;__;__;__
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae	0	0.012564671	0.013135351	0.019584029	0	0	0	0	Geobacteraceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__SB-5	0	0.004249815	0.016561965	0.00470624	0	0	0	0	SB-5
d__Bacteria;p__Bacteroidota;c__Kryptonia;o__Kryptoniales;f__BSV26	0	0.003880266	0.008852085	0.006983452	0.015151515	0	0	0	BSV26
d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__uncultured	0	0.007390983	0.009137636	0.007287081	0.045454545	0	0	0	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__uncultured
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__NS11-12_marine_group	0	0.002402069	0.001427756	0.004858054	0	0	0	0	NS11-12_marine_group
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	0	0.004065041	0.003712164	0.009716107	0	0	0.000600921	0	Moraxellaceae
d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae	0	0.002956393	0.004283267	0.005161682	0	0	0	0	Haliangiaceae
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae	0	0.001847746	0.003712164	0.004098983	0	0	0	0	Hyphomicrobiaceae
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	0	0.000369549	0.000856653	0.000303628	0	0	0	0	Oscillospiraceae
d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae	0	0.002586844	0.004568818	0.002125399	0.015151515	0	0	0	Syntrophorhabdaceae
d__Bacteria;p__Zixibacteria;c__Zixibacteria;o__Zixibacteria;f__Zixibacteria	0	0.002586844	0.001427756	0.000151814	0	0	0	0	Zixibacteria
d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae	0	0.000369549	0.000285551	0	0	0	0	0	Fermentibacteraceae
