file	percent	reads	taxon_id	taxa
BP.kaiju.out	0.023494	21453	224463	Nannocystaceae
BP.kaiju.out	0.023238	21219	74712	Frankiaceae
BP.kaiju.out	0.022806	20825	224372	Alcanivoracaceae
BP.kaiju.out	0.022667	20698	3031625	Desulfatirhabdiaceae
BP.kaiju.out	0.022386	20441	1892252	Microcoleaceae
BP.kaiju.out	0.021945	20039	1522127	Catalimonadaceae
BP.kaiju.out	0.021917	20013	186818	Planococcaceae
BP.kaiju.out	0.021358	19503	2691358	Thermoguttaceae
BP.kaiju.out	0.020846	19035	2843199	Miltoncostaeaceae
BP.kaiju.out	0.020562	18776	188786	Thermaceae
BP.kaiju.out	0.02023	18473	2726069	Kribbellaceae
BP.kaiju.out	0.020139	18390	2049	Actinomycetaceae
BP.kaiju.out	0.019151	17487	453228	Desulfarculaceae
BP.kaiju.out	0.018971	17323	33958	Lactobacillaceae
BP.kaiju.out	0.018938	17293	225058	Acidithiobacillaceae
BP.kaiju.out	0.018696	17072	186814	Thermoanaerobacteraceae
BP.kaiju.out	0.018511	16903	1676141	Wenzhouxiangellaceae
BP.kaiju.out	0.018433	16832	2005473	Muribaculaceae
BP.kaiju.out	0.018107	16534	1524216	Labilitrichaceae
BP.kaiju.out	0.018089	16518	1706375	Spongiibacteraceae
BP.kaiju.out	0.017406	15894	1706373	Microbulbiferaceae
BP.kaiju.out	0.017291	15789	2843308	Pleomorphomonadaceae
BP.kaiju.out	0.017219	15723	81852	Enterococcaceae
BP.kaiju.out	0.016654	15207	267888	Pseudoalteromonadaceae
BP.kaiju.out	0.016451	15022	186804	Peptostreptococcaceae
BP.kaiju.out	0.016347	14927	543314	Eubacteriales Family XIII. Incertae Sedis
BP.kaiju.out	0.016259	14847	2066434	Geminicoccaceae
BP.kaiju.out	0.016164	14760	2762306	Roseivirgaceae
BP.kaiju.out	0.016106	14707	196137	Methanospirillaceae
BP.kaiju.out	0.015959	14573	1892259	Aphanizomenonaceae
BP.kaiju.out	0.015839	14463	68298	Syntrophomonadaceae
BP.kaiju.out	0.015692	14329	2881426	Prochlorococcaceae
BP.kaiju.out	0.015636	14278	1890436	Pseudanabaenaceae
BP.kaiju.out	0.015632	14274	267889	Colwelliaceae
BP.kaiju.out	0.015353	14019	320583	Conexibacteraceae
BP.kaiju.out	0.015258	13933	213116	Desulfomicrobiaceae
BP.kaiju.out	0.015149	13833	83676	Nocardiopsaceae
BP.kaiju.out	0.015105	13793	2813035	Parvibaculaceae
BP.kaiju.out	0.01506	13752	2808963	Arcobacteraceae
BP.kaiju.out	0.015034	13728	1903409	Erwiniaceae
BP.kaiju.out	0.014973	13672	1042322	Demequinaceae
BP.kaiju.out	0.01489	13597	84997	Rubrobacteraceae
BP.kaiju.out	0.014555	13291	1921568	Micropepsaceae
BP.kaiju.out	0.01442	13167	3031665	Geoalkalibacteraceae
BP.kaiju.out	0.014109	12883	2048906	Pyrinomonadaceae
BP.kaiju.out	0.014076	12853	118882	Brucellaceae
BP.kaiju.out	0.014061	12840	186824	Thermoactinomycetaceae
BP.kaiju.out	0.013962	12749	3039168	Moorellaceae
BP.kaiju.out	0.013634	12450	1903411	Yersiniaceae
BP.kaiju.out	0.01353	12355	224380	Desulfonatronaceae
BP.kaiju.out	0.013477	12306	1333713	Schleiferiaceae
BP.kaiju.out	0.013364	12203	2705999	Casimicrobiaceae
BP.kaiju.out	0.013293	12138	2483367	Sedimentisphaeraceae
BP.kaiju.out	0.012998	11869	2844403	Rhodovibrionaceae
BP.kaiju.out	0.012816	11703	712	Pasteurellaceae
BP.kaiju.out	0.012769	11660	1217100	Jiangellaceae
BP.kaiju.out	0.012568	11476	31977	Veillonellaceae
BP.kaiju.out	0.012559	11468	3031627	Desulfatibacillaceae
BP.kaiju.out	0.012517	11430	2932362	Candidatus Manganitrophaceae
BP.kaiju.out	0.012489	11404	1202464	Dehalococcoidaceae
BP.kaiju.out	0.01246	11378	1843491	Selenomonadaceae
BP.kaiju.out	0.012406	11328	2800061	Maricaulaceae
BP.kaiju.out	0.012373	11298	1300	Streptococcaceae
BP.kaiju.out	0.012141	11086	2690158	Anaerohalosphaeraceae
BP.kaiju.out	0.011963	10924	3039865	Candidatus Cloacimonadaceae
BP.kaiju.out	0.01194	10903	1653	Corynebacteriaceae
BP.kaiju.out	0.011856	10826	203492	Fusobacteriaceae
BP.kaiju.out	0.011855	10825	3031622	Desulfolunaceae
BP.kaiju.out	0.011789	10765	2771472	Sulfurovaceae
BP.kaiju.out	0.011746	10726	2904715	Desulfosudaceae
BP.kaiju.out	0.011728	10709	2897346	Candidatus Scalinduaceae
BP.kaiju.out	0.011673	10659	85017	Promicromonosporaceae
BP.kaiju.out	0.011646	10634	85026	Gordoniaceae
BP.kaiju.out	0.011632	10622	2571193	Dictyobacteraceae
BP.kaiju.out	0.011595	10588	1643826	Eggerthellaceae
BP.kaiju.out	0.011533	10531	407032	Nitrospinaceae
BP.kaiju.out	0.011497	10498	2005519	Barnesiellaceae
BP.kaiju.out	0.011456	10461	388449	Ktedonobacteraceae
BP.kaiju.out	0.011195	10223	1903414	Morganellaceae
BP.kaiju.out	0.01118	10209	3031659	Geopsychrobacteraceae
BP.kaiju.out	0.011104	10139	2792775	Alsobacteraceae
BP.kaiju.out	0.011081	10118	2419832	Candidatus Ozemobacteraceae
BP.kaiju.out	0.010934	9984	1042314	Armatimonadaceae
BP.kaiju.out	0.010861	9918	2867375	Desulfallaceae
BP.kaiju.out	0.010792	9855	2844864	Thalassobaculaceae
BP.kaiju.out	0.010486	9575	72293	Helicobacteraceae
BP.kaiju.out	0.010483	9572	2036754	Chelatococcaceae
BP.kaiju.out	0.010468	9559	72294	Campylobacteraceae
BP.kaiju.out	0.010365	9465	2762301	Marivirgaceae
BP.kaiju.out	0.010274	9382	2844866	Thalassospiraceae
BP.kaiju.out	0.010197	9311	2661849	Calotrichaceae
BP.kaiju.out	0.010179	9295	2762276	Cesiribacteraceae
BP.kaiju.out	0.010177	9293	2907186	Tichowtungiaceae
BP.kaiju.out	0.010139	9258	2805590	Ornithinimicrobiaceae
BP.kaiju.out	0.010086	9210	84107	Coriobacteriaceae
BP.kaiju.out	0.010028	9157	145357	Dermacoccaceae
BP.kaiju.out	0.009831	8977	972	Halanaerobiaceae
BP.kaiju.out	0.009804	8952	85018	Dermatophilaceae
BP.kaiju.out	0.009799	8948	90964	Staphylococcaceae
BP.kaiju.out	0.009772	8923	189773	Herpetosiphonaceae
BP.kaiju.out	0.009738	8892	2812024	Syntrophotaleaceae
BP.kaiju.out	0.009682	8841	267893	Idiomarinaceae
BP.kaiju.out	0.009681	8840	1033997	Nitrososphaeraceae
BP.kaiju.out	0.009597	8763	2844601	Stellaceae
BP.kaiju.out	0.009554	8724	1663426	Fimbriimonadaceae
BP.kaiju.out	0.009518	8691	3031623	Desulforegulaceae
BP.kaiju.out	0.009511	8685	255474	Parvularculaceae
BP.kaiju.out	0.009475	8652	563843	Rhodothermaceae
BP.kaiju.out	0.009361	8548	2762317	Thermoflexibacteraceae
BP.kaiju.out	0.009216	8415	186828	Carnobacteriaceae
BP.kaiju.out	0.009191	8393	1392996	Candidatus Methanoperedenaceae
BP.kaiju.out	0.00913	8337	263369	Bacteriovoracaceae
BP.kaiju.out	0.009117	8325	1706374	Porticoccaceae
BP.kaiju.out	0.009046	8260	2066474	Endozoicomonadaceae
BP.kaiju.out	0.008976	8196	3031670	Deferrisomataceae
BP.kaiju.out	0.008906	8132	2791015	Sphaerochaetaceae
BP.kaiju.out	0.008754	7994	1442156	Ferrovaceae
BP.kaiju.out	0.00874	7981	543313	Eubacteriales Family XII. Incertae Sedis
BP.kaiju.out	0.008736	7977	995019	Sutterellaceae
BP.kaiju.out	0.008729	7971	2146	Acholeplasmataceae
BP.kaiju.out	0.008702	7946	188711	Thermodesulfobacteriaceae
BP.kaiju.out	0.008693	7938	31984	Heliobacteriaceae
BP.kaiju.out	0.00857	7826	1921783	Kiritimatiellaceae
BP.kaiju.out	0.008332	7608	255526	Halothiobacillaceae
BP.kaiju.out	0.008327	7604	53434	Halobacteroidaceae
BP.kaiju.out	0.008309	7587	1460864	Methanocalculaceae
BP.kaiju.out	0.008299	7578	3031626	Candidatus Magnetomoraceae
BP.kaiju.out	0.00829	7570	2843305	Phreatobacteraceae
BP.kaiju.out	0.008226	7511	2922432	Phototrophicaceae
BP.kaiju.out	0.00821	7497	1892251	Coleofasciculaceae
BP.kaiju.out	0.008195	7483	1892263	Hapalosiphonaceae
BP.kaiju.out	0.008158	7449	145358	Bogoriellaceae
BP.kaiju.out	0.008123	7417	332247	Trueperaceae
BP.kaiju.out	0.008038	7340	3031664	Geothermobacteraceae
BP.kaiju.out	0.008011	7315	510685	Sneathiellaceae
BP.kaiju.out	0.007944	7254	1890449	Microcystaceae
BP.kaiju.out	0.007858	7175	1106	Chloroflexaceae
BP.kaiju.out	0.00784	7159	570265	Methanocellaceae
BP.kaiju.out	0.00777	7095	1182	Scytonemataceae
BP.kaiju.out	0.007751	7078	3031459	Desulfonatronovibrionaceae
BP.kaiju.out	0.007721	7050	2690195	Elioraeaceae
BP.kaiju.out	0.007692	7024	1570339	Peptoniphilaceae
BP.kaiju.out	0.007656	6991	2945019	Geovibrionaceae
BP.kaiju.out	0.007655	6990	1890450	Aphanothecaceae
BP.kaiju.out	0.00762	6958	255527	Saccharospirillaceae
BP.kaiju.out	0.007455	6807	1853227	Rubricoccaceae
BP.kaiju.out	0.00745	6803	1903410	Pectobacteriaceae
