file	percent	reads	taxon_id	taxon_name
BP.kaiju.out	0.017347	15840	1146865	Rivibacter
BP.kaiju.out	0.017307	15804	2819029	Candidatus Denitrolinea
BP.kaiju.out	0.017227	15731	1383070	Brevifollis
BP.kaiju.out	0.017215	15720	390846	Echinicola
BP.kaiju.out	0.017197	15703	57488	Thiorhodococcus
BP.kaiju.out	0.017134	15646	136099	Knoellia
BP.kaiju.out	0.017086	15602	649460	Filimonas
BP.kaiju.out	0.017081	15597	1522432	Pseudoduganella
BP.kaiju.out	0.017074	15591	1579505	Rubripirellula
BP.kaiju.out	0.017040	15560	2870716	Neoroseomonas
BP.kaiju.out	0.016934	15463	1706036	Gemmatirosa
BP.kaiju.out	0.016901	15433	64001	Nevskia
BP.kaiju.out	0.016734	15280	3041089	Paraflavisolibacter
BP.kaiju.out	0.016709	15258	2795973	Stieleria
BP.kaiju.out	0.016697	15247	50	Chondromyces
BP.kaiju.out	0.016672	15224	1055688	Sandaracinus
BP.kaiju.out	0.016540	15103	378210	Methyloversatilis
BP.kaiju.out	0.016529	15093	1145345	Bauldia
BP.kaiju.out	0.016505	15071	1210119	Ohtaekwangia
BP.kaiju.out	0.016461	15031	2923290	Candidatus Sulfidibacterium
BP.kaiju.out	0.016386	14963	2795778	Caulifigura
BP.kaiju.out	0.016335	14916	414371	Aureimonas
BP.kaiju.out	0.016290	14875	1288026	Arcticibacter
BP.kaiju.out	0.016164	14760	290180	Roseivirga
BP.kaiju.out	0.016106	14707	2202	Methanospirillum
BP.kaiju.out	0.016056	14661	1548510	Microbacter
BP.kaiju.out	0.015921	14538	48736	Ralstonia
BP.kaiju.out	0.015905	14523	644355	Inhella
BP.kaiju.out	0.015763	14394	283168	Odoribacter
BP.kaiju.out	0.015763	14394	292691	Christiangramia
BP.kaiju.out	0.015734	14367	475794	Haliea
BP.kaiju.out	0.015538	14188	413435	Solimonas
BP.kaiju.out	0.015468	14124	747294	Pseudorhodoferax
BP.kaiju.out	0.015430	14090	85	Hyphomonas
BP.kaiju.out	0.015353	14019	191494	Conexibacter
BP.kaiju.out	0.015344	14011	1654934	Desulfoprunum
BP.kaiju.out	0.015250	13925	93217	Pandoraea
BP.kaiju.out	0.015211	13890	1649462	Lacihabitans
BP.kaiju.out	0.015109	13797	28100	Phyllobacterium
BP.kaiju.out	0.015077	13767	2795979	Posidoniimonas
BP.kaiju.out	0.015063	13755	643701	Marinoscillum
BP.kaiju.out	0.014973	13672	577469	Demequina
BP.kaiju.out	0.014875	13583	49184	Kineosporia
BP.kaiju.out	0.014866	13575	3020066	Cognataquiflexum
BP.kaiju.out	0.014812	13525	2860291	Geomesophilobacter
BP.kaiju.out	0.014809	13523	1453544	Tahibacter
BP.kaiju.out	0.014789	13504	352450	Simplicispira
BP.kaiju.out	0.014639	13367	10	Cellvibrio
BP.kaiju.out	0.014562	13297	116071	Micropruina
BP.kaiju.out	0.014555	13291	1241326	Rhizomicrobium
BP.kaiju.out	0.014495	13236	93681	Roseateles
